Unnamed: 0_level_0_Player,Unnamed: 5_level_0_Min,Pos,Performance_Gls,Performance_Ast,Performance_Sh,Performance_SoT,Passes_Cmp,Passes_Att,Unnamed: 23_level_0_KP,Performance_Crs,Take-Ons_Succ,Take-Ons_Att,Carries_Dis,Performance_Fls,Performance_Off,Performance_Tkl,Performance_Int,Unnamed: 20_level_0_Clr,Blocks_Sh,Challenges_Lost,Unnamed: 21_level_0_Err,Performance_OG,Aerial Duels_Won,Aerial Duels_Lost,Performance_PKwon,Performance_PKcon,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Team,minutes_played,goals_scored,goals_conceded,name,score_calc,pos_calc,match,name_lower,score_excel,pos_excel,diff,pos_match,abs_diff
Giovanni Di Lorenzo,90,DEF,0,0,0,0,71,79,1,2,0,1,1,0,0,1,1,2,2,1,0,0,3,2,0,0,0,0,0,0,Home,90,0,0,Giovanni Di Lorenzo,36,DEF,Napoli vs Eintracht Frankfurt,giovanni di lorenzo,37,DEF,-1,True,1
Amir Rrahmani,90,DEF,0,0,0,0,101,109,0,0,0,0,0,1,0,1,2,5,1,1,0,0,4,1,0,0,0,0,0,0,Home,90,0,0,Amir Rrahmani,44,DEF,Napoli vs Eintracht Frankfurt,amir rrahmani,43,DEF,1,True,1
Alessandro Buongiorno,90,DEF,0,0,0,0,76,84,0,0,0,0,1,5,0,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,Home,90,0,0,Alessandro Buongiorno,37,DEF,Napoli vs Eintracht Frankfurt,alessandro buongiorno,37,DEF,0,True,0
Miguel Gutiérrez,90,DEF,0,0,0,0,68,71,2,6,0,2,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Home,90,0,0,Miguel Gutiérrez,45,DEF,Napoli vs Eintracht Frankfurt,miguel gutiérrez,46,DEF,-1,True,1
Stanislav Lobotka,73,MID,0,0,0,0,57,59,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Home,73,0,0,Stanislav Lobotka,26,MID,Napoli vs Eintracht Frankfurt,stanislav lobotka,27,MID,-1,True,1
Scott McTominay,90,MID,0,0,0,0,37,42,1,0,0,2,1,1,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Home,90,0,0,Scott McTominay,28,MID,Napoli vs Eintracht Frankfurt,scott mctominay,26,MID,2,True,2
Matteo Politano,65,FWD,0,0,0,0,30,33,1,5,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Home,65,0,0,Matteo Politano,17,FWD,Napoli vs Eintracht Frankfurt,matteo politano,17,FWD,0,True,0
Rasmus Højlund,90,FWD,0,0,0,1,17,19,0,0,0,0,4,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,Home,90,0,0,Rasmus Højlund,11,FWD,Napoli vs Eintracht Frankfurt,rasmus højlund,10,FWD,1,True,1
David Neres,25,FWD,0,0,0,0,13,16,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,25,0,0,David Neres,7,FWD,Napoli vs Eintracht Frankfurt,david neres,7,FWD,0,True,0
Noa Lang,17,FWD,0,0,0,0,7,7,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,17,0,0,Noa Lang,15,FWD,Napoli vs Eintracht Frankfurt,noa lang,14,FWD,1,True,1
