name,score_calc,pos_calc,match,name_lower,score_excel,pos_excel,pos_match,diff,abs_diff
Youri Regeer,30,FWD,Benfica vs Ajax,youri regeer,29,DEF,False,1,1
Josip Šutalo,24,DEF,Benfica vs Ajax,josip šutalo,20,DEF,True,4,4
Youri Baas,40,DEF,Benfica vs Ajax,youri baas,40,DEF,True,0,0
Owen Wijndal,24,DEF,Benfica vs Ajax,owen wijndal,23,DEF,True,1,1
Ko Itakura,27,DEF,Benfica vs Ajax,ko itakura,30,MID,False,-3,3
Rayane Bounida,40,FWD,Benfica vs Ajax,rayane bounida,37,MID,False,3,3
Davy Klaassen,12,MID,Benfica vs Ajax,davy klaassen,12,MID,True,0,0
Kenneth Taylor,35,MID,Benfica vs Ajax,kenneth taylor,34,MID,True,1,1
Mika Godts,17,FWD,Benfica vs Ajax,mika godts,14,MID,False,3,3
Wout Weghorst,12,FWD,Benfica vs Ajax,wout weghorst,13,FWD,True,-1,1
Jorthy Mokio,14,MID,Benfica vs Ajax,jorthy mokio,17,DEF,False,-3,3
Oscar Gloukh,11,MID,Benfica vs Ajax,oscar gloukh,11,MID,True,0,0
Kian Fitz-Jim,7,FWD,Benfica vs Ajax,kian fitz-jim,7,MID,False,0,0
Kasper Dolberg,4,FWD,Benfica vs Ajax,kasper dolberg,4,FWD,True,0,0
Raúl Moro,4,MID,Benfica vs Ajax,raúl moro,7,DEF,False,-3,3
Amar Dedić,40,DEF,Benfica vs Ajax,amar dedić,42,DEF,True,-2,2
António Silva,37,DEF,Benfica vs Ajax,antónio silva,37,DEF,True,0,0
Nicolás Otamendi,43,DEF,Benfica vs Ajax,nicolás otamendi,44,DEF,True,-1,1
Samuel Dahl,48,DEF,Benfica vs Ajax,samuel dahl,48,DEF,True,0,0
Richard Ríos,27,MID,Benfica vs Ajax,richard ríos,26,MID,True,1,1
Enzo Barrenechea,23,MID,Benfica vs Ajax,enzo barrenechea,25,MID,True,-2,2
Fredrik Aursnes,45,DEF,Benfica vs Ajax,fredrik aursnes,46,FWD,False,-1,1
Vangelis Pavlidis,19,FWD,Benfica vs Ajax,vangelis pavlidis,19,FWD,True,0,0
Tomás Araújo,9,DEF,Benfica vs Ajax,tomás araújo,9,DEF,True,0,0
Rodrigo Rego,5,FWD,Benfica vs Ajax,rodrigo rego,7,MID,False,-2,2
Roland Sallai,36,FWD,Union SG vs Galatasaray,roland sallai,39,DEF,False,-3,3
Davinson Sánchez,39,DEF,Union SG vs Galatasaray,davinson sánchez,44,DEF,True,-5,5
Abdülkerim Bardakcı,43,DEF,Union SG vs Galatasaray,abdülkerim bardakcı,42,DEF,True,1,1
Ismail Jakobs,31,DEF,Union SG vs Galatasaray,ismail jakobs,31,DEF,True,0,0
İlkay Gündoğan,18,MID,Union SG vs Galatasaray,i̇lkay gündoğan,18,MID,True,0,0
Lucas Torreira,23,MID,Union SG vs Galatasaray,lucas torreira,18,MID,True,5,5
Gabriel Sara,43,MID,Union SG vs Galatasaray,gabriel sara,41,MID,True,2,2
Leroy Sané,40,FWD,Union SG vs Galatasaray,leroy sané,40,FWD,True,0,0
Mauro Icardi,11,FWD,Union SG vs Galatasaray,mauro icardi,11,FWD,True,0,0
Barış Alper Yılmaz,25,FWD,Union SG vs Galatasaray,barış alper yılmaz,22,FWD,True,3,3
Arda Ünyay,19,DEF,Union SG vs Galatasaray,arda ünyay,14,DEF,True,5,5
Kevin Mac Allister,45,DEF,Union SG vs Galatasaray,kevin mac allister,45,DEF,True,0,0
Christian Burgess,22,DEF,Union SG vs Galatasaray,christian burgess,24,DEF,True,-2,2
Ross Sykes,37,DEF,Union SG vs Galatasaray,ross sykes,36,DEF,True,1,1
Anan Khalaili,50,DEF,Union SG vs Galatasaray,anan khalaili,51,DEF,True,-1,1
