Unnamed: 0_level_0_Player,Unnamed: 5_level_0_Min,Pos,Performance_Gls,Performance_Ast,Performance_Sh,Performance_SoT,Passes_Cmp,Passes_Att,Unnamed: 23_level_0_KP,Performance_Crs,Take-Ons_Succ,Take-Ons_Att,Carries_Dis,Performance_Fls,Performance_Off,Performance_Tkl,Performance_Int,Unnamed: 20_level_0_Clr,Blocks_Sh,Challenges_Lost,Unnamed: 21_level_0_Err,Performance_OG,Aerial Duels_Won,Aerial Duels_Lost,Performance_PKwon,Performance_PKcon,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Team,minutes_played,goals_scored,goals_conceded,name,score_calc,pos_calc,name_lower,score_excel,pos_excel,diff,pos_match,abs_diff
Fábio Silva,9,FWD,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Away,9,0,1,Fábio Silva,4,FWD,fábio silva,-1,FWD,5,True,5
Tijjani Reijnders,79,MID,0,2,0,1,28,32,3,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Home,79,3,1,Tijjani Reijnders,46,MID,tijjani reijnders,42,MID,4,True,4
Karim Adeyemi,81,MID,0,0,0,1,12,15,1,3,2,4,4,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Away,81,1,3,Karim Adeyemi,20,MID,karim adeyemi,16,MID,4,True,4
Daniel Svensson,90,DEF,0,0,0,0,26,30,0,3,0,0,0,1,0,4,0,1,0,3,0,0,0,1,0,0,0,0,0,0,Away,90,1,4,Daniel Svensson,7,DEF,daniel svensson,4,DEF,3,True,3
Joško Gvardiol,90,DEF,0,0,0,0,55,62,0,1,0,0,0,5,0,1,3,5,0,0,0,0,3,2,0,0,0,0,0,0,Home,90,4,1,Joško Gvardiol,33,DEF,joško gvardiol,35,DEF,-2,True,2
Pascal Groß,23,MID,0,0,0,0,13,16,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Away,23,1,1,Pascal Groß,12,MID,pascal groß,14,MID,-2,True,2
Felix Nmecha,90,MID,0,0,0,0,45,51,2,0,2,2,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Away,90,1,4,Felix Nmecha,27,MID,felix nmecha,29,MID,-2,True,2
John Stones,90,DEF,0,0,0,0,45,47,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,Home,90,4,1,John Stones,24,DEF,john stones,22,DEF,2,True,2
Nico Schlotterbeck,90,DEF,0,0,0,0,63,68,0,0,0,0,0,0,0,1,1,4,0,1,0,0,1,2,0,0,0,0,0,0,Away,90,1,4,Nico Schlotterbeck,9,DEF,nico schlotterbeck,10,DEF,-1,True,1
Maximilian Beier,67,MID,0,0,0,0,16,20,1,3,1,1,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,Away,67,0,3,Maximilian Beier,17,MID,maximilian beier,16,MID,1,True,1
