name,name_lower,excel_pos,sofascore_pos,whoscored_pos,sofascore_correct,whoscored_correct
Rasmus Højlund,rasmus højlund,FWD,FWD,FWD,True,True
Matteo Politano,matteo politano,FWD,FWD,FWD,True,True
Scott McTominay,scott mctominay,MID,MID,MID,True,True
Stanislav Lobotka,stanislav lobotka,MID,MID,MID,True,True
Miguel Gutiérrez,miguel gutiérrez,DEF,DEF,DEF,True,True
Alessandro Buongiorno,alessandro buongiorno,DEF,DEF,DEF,True,True
Amir Rrahmani,amir rrahmani,DEF,DEF,DEF,True,True
Giovanni Di Lorenzo,giovanni di lorenzo,DEF,DEF,DEF,True,True
Jonathan Burkardt,jonathan burkardt,FWD,FWD,FWD,True,True
Hugo Larsson,hugo larsson,MID,MID,MID,True,True
Mario Götze,mario götze,MID,MID,MID,True,True
Nathaniel Brown,nathaniel brown,DEF,DEF,DEF,True,True
Arthur Theate,arthur theate,DEF,DEF,DEF,True,True
Robin Koch,robin koch,DEF,DEF,DEF,True,True
Nnamdi Collins,nnamdi collins,DEF,DEF,DEF,True,True
Rasmus Kristensen,rasmus kristensen,DEF,DEF,DEF,True,True
Youssoupha Sanyang,youssoupha sanyang,FWD,FWD,FWD,True,True
Youssoupha Mbodji,youssoupha mbodji,MID,MID,DEF,True,False
Michal Sadílek,michal sadílek,MID,MID,MID,True,True
Christos Zafeiris,christos zafeiris,MID,MID,MID,True,True
David Moses,david moses,MID,MID,DEF,True,False
David Zima,david zima,DEF,DEF,DEF,True,True
Mikel Merino,mikel merino,FWD,FWD,FWD,True,True
Leandro Trossard,leandro trossard,FWD,FWD,FWD,True,True
Bukayo Saka,bukayo saka,FWD,FWD,FWD,True,True
Declan Rice,declan rice,MID,MID,MID,True,True
Christian Nørgaard,christian nørgaard,MID,MID,MID,True,True
Ethan Nwaneri,ethan nwaneri,MID,MID,MID,True,True
Piero Hincapié,piero hincapié,DEF,DEF,DEF,True,True
Gabriel Magalhães,gabriel magalhães,DEF,DEF,DEF,True,True
William Saliba,william saliba,DEF,DEF,DEF,True,True
Jurriën Timber,jurriën timber,DEF,DEF,DEF,True,True
Randal Kolo Muani,randal kolo muani,FWD,FWD,FWD,True,True
Wilson Odobert,wilson odobert,FWD,MID,MID,False,False
Brennan Johnson,brennan johnson,FWD,MID,MID,False,False
Xavi Simons,xavi simons,MID,MID,MID,True,True
Pape Matar Sarr,pape matar sarr,MID,MID,MID,True,True
Rodrigo Bentancur,rodrigo bentancur,MID,MID,MID,True,True
Destiny Udogie,destiny udogie,DEF,DEF,DEF,True,True
Micky van de Ven,micky van de ven,DEF,DEF,DEF,True,True
Cristian Romero,cristian romero,DEF,DEF,DEF,True,True
Pedro Porro,pedro porro,DEF,DEF,DEF,True,True
Mohamed Elyounoussi,mohamed elyounoussi,FWD,FWD,FWD,True,True
Youssoufa Moukoko,youssoufa moukoko,FWD,FWD,FWD,True,True
Elias Achouri,elias achouri,MID,MID,MID,True,True
William Clem,william clem,MID,MID,MID,True,True
Lukas Lerager,lukas lerager,MID,MID,MID,True,True
Jordan Larsson,jordan larsson,MID,MID,MID,True,True
Marcos López,marcos lópez,DEF,DEF,DEF,True,True
Pantelis Hatzidiakos,pantelis hatzidiakos,DEF,DEF,DEF,True,True
Gabriel Pereira,gabriel pereira,DEF,DEF,DEF,True,True
Junnosuke Suzuki,junnosuke suzuki,DEF,DEF,DEF,True,True
Florian Wirtz,florian wirtz,FWD,MID,MID,False,False
Mohamed Salah,mohamed salah,FWD,MID,MID,False,False
