name,score_calc,pos_calc,match,name_lower,score_excel,pos_excel,pos_match,diff,abs_diff
José María Giménez,33,DEF,AC Sparta Praha vs Atlético Madrid,josé maría giménez,43,DEF,True,-10,10
Giuliano Simeone,49,MID,AC Sparta Praha vs Atlético Madrid,giuliano simeone,39,MID,True,10,10
Pablo Barrios,46,MID,AC Sparta Praha vs Atlético Madrid,pablo barrios,25,MID,True,21,21
Conor Gallagher,49,MID,AC Sparta Praha vs Atlético Madrid,conor gallagher,11,MID,True,38,38
Alexander Sørloth,30,FWD,AC Sparta Praha vs Atlético Madrid,alexander sørloth,9,FWD,True,21,21
Antoine Griezmann,37,FWD,AC Sparta Praha vs Atlético Madrid,antoine griezmann,32,FWD,True,5,5
Koke,18,MID,AC Sparta Praha vs Atlético Madrid,koke,16,MID,True,2,2
Tijjani Reijnders,31,MID,ŠK Slovan Bratislava vs Milan,tijjani reijnders,35,MID,True,-4,4
Yunus Musah,8,MID,ŠK Slovan Bratislava vs Milan,yunus musah,15,MID,True,-7,7
Malick Thiaw,3,DEF,ŠK Slovan Bratislava vs Milan,malick thiaw,27,DEF,True,-24,24
Jules Koundé,26,DEF,Barcelona vs Stade Brestois,jules koundé,32,DEF,True,-6,6
Pau Cubarsí,37,DEF,Barcelona vs Stade Brestois,pau cubarsí,32,DEF,True,5,5
Gerard Martín,47,DEF,Barcelona vs Stade Brestois,gerard martín,17,DEF,True,30,30
Raphinha,49,MID,Barcelona vs Stade Brestois,raphinha,19,FWD,False,30,30
Dani Olmo,45,MID,Barcelona vs Stade Brestois,dani olmo,8,FWD,False,37,37
Robert Lewandowski,60,FWD,Barcelona vs Stade Brestois,robert lewandowski,14,FWD,True,46,46
Alejandro Balde,25,DEF,Barcelona vs Stade Brestois,alejandro balde,13,DEF,True,12,12
Frenkie de Jong,11,MID,Barcelona vs Stade Brestois,frenkie de jong,18,MID,True,-7,7
Eric García,8,DEF,Barcelona vs Stade Brestois,eric garcía,16,DEF,True,-8,8
Jonathan Tah,38,DEF,Bayer 04 Leverkusen vs Red Bull Salzburg,jonathan tah,23,DEF,True,15,15
Patrik Schick,49,FWD,Bayer 04 Leverkusen vs Red Bull Salzburg,patrik schick,30,FWD,True,19,19
Nathan Tella,24,MID,Bayer 04 Leverkusen vs Red Bull Salzburg,nathan tella,7,MID,True,17,17
Aleix García,26,MID,Bayer 04 Leverkusen vs Red Bull Salzburg,aleix garcía,35,MID,True,-9,9
Amar Dedić,10,DEF,Bayer 04 Leverkusen vs Red Bull Salzburg,amar dedić,42,DEF,True,-32,32
Oscar Gloukh,13,MID,Bayer 04 Leverkusen vs Red Bull Salzburg,oscar gloukh,11,MID,True,2,2
Konrad Laimer,23,DEF,FC Bayern München vs Paris Saint-Germain,konrad laimer,13,DEF,True,10,10
Dayot Upamecano,37,DEF,FC Bayern München vs Paris Saint-Germain,dayot upamecano,11,DEF,True,26,26
Joshua Kimmich,32,MID,FC Bayern München vs Paris Saint-Germain,joshua kimmich,10,MID,True,22,22
Leon Goretzka,30,MID,FC Bayern München vs Paris Saint-Germain,leon goretzka,9,MID,True,21,21
Leroy Sané,33,FWD,FC Bayern München vs Paris Saint-Germain,leroy sané,40,FWD,True,-7,7
Harry Kane,27,FWD,FC Bayern München vs Paris Saint-Germain,harry kane,15,FWD,True,12,12
Serge Gnabry,4,MID,FC Bayern München vs Paris Saint-Germain,serge gnabry,27,FWD,False,-23,23
Michael Olise,12,FWD,FC Bayern München vs Paris Saint-Germain,michael olise,35,FWD,True,-23,23
Raphaël Guerreiro,8,DEF,FC Bayern München vs Paris Saint-Germain,raphaël guerreiro,8,MID,False,0,0
Marquinhos,18,DEF,FC Bayern München vs Paris Saint-Germain,marquinhos,18,DEF,True,0,0
