Match_ID,Round,Match,Team,Player,Calculated_Score,Saves,Claims,Sweeper,Goals_Prevented,Minutes
14566909,Round 1,athletic-club-arsenal,Athletic Club,Unai Simón,22,4,0,2,-0.8863,90
14566909,Round 1,athletic-club-arsenal,Arsenal,David Raya,40,2,1,2,0.173,90
14566894,Round 1,royale-union-saint-gilloise-psv-eindhoven,PSV Eindhoven,Matěj Kovář,31,4,1,0,0.3444,90
14566894,Round 1,royale-union-saint-gilloise-psv-eindhoven,Royale Union Saint-Gilloise,Kjell Scherpen,41,2,2,2,0.2882,90
14566738,Round 1,qarabag-benfica,Benfica,Anatoliy Trubin,22,2,0,1,-0.2692,90
14566738,Round 1,qarabag-benfica,Qarabağ FK,Mateusz Kochalski,34,1,1,1,-0.6343,90
14566764,Round 1,juventus-borussia-dortmund,Juventus,Michele Di Gregorio,9,1,0,0,-1.8017,90
14566764,Round 1,juventus-borussia-dortmund,Borussia Dortmund,Gregor Kobel,31,3,1,1,-1.2199,90
14566597,Round 1,real-madrid-olympique-de-marseille,Real Madrid,Thibaut Courtois,33,4,0,2,-0.5257,90
14566597,Round 1,real-madrid-olympique-de-marseille,Olympique de Marseille,Gerónimo Rulli,40,13,1,0,1.6811,90
14566827,Round 1,villarreal-tottenham-hotspur,Tottenham Hotspur,Guglielmo Vicario,38,0,1,1,0.0,90
14566827,Round 1,villarreal-tottenham-hotspur,Villarreal,Luiz Júnior,29,2,1,2,-0.8417,90
14566868,Round 1,pafos-fc-olympiacos-fc,Olympiacos FC,Alexandros Paschalakis,30,1,0,1,0.1233,90
14566868,Round 1,pafos-fc-olympiacos-fc,Pafos FC,Neofytos Michael,25,3,0,0,0.3061,90
14566884,Round 1,sk-slavia-praha-bodoglimt,SK Slavia Praha,Jindřich Staněk,28,8,0,1,0.6381,90
14566884,Round 1,sk-slavia-praha-bodoglimt,Bodø/Glimt,Nikita Haikin,38,8,1,0,2.1919,90
14566873,Round 1,afc-ajax-inter,AFC Ajax,Vítězslav Jaroš,23,3,0,0,-0.2935,90
14566873,Round 1,afc-ajax-inter,Inter,Yann Sommer,38,2,2,0,0.7491,90
14566570,Round 1,fc-bayern-munchen-chelsea,FC Bayern München,Manuel Neuer,36,2,1,0,0.0189,90
14566570,Round 1,fc-bayern-munchen-chelsea,Chelsea,Robert Sánchez,24,3,1,0,-0.634,90
14566637,Round 1,atletico-madrid-liverpool,Liverpool,Alisson,41,2,2,1,-0.1944,90
14566637,Round 1,atletico-madrid-liverpool,Atlético Madrid,Jan Oblak,4,3,0,0,-1.0789,90
14566657,Round 1,atalanta-paris-saint-germain,Paris Saint-Germain,Lucas Chevalier,24,2,0,0,0.2538,90
14566657,Round 1,atalanta-paris-saint-germain,Atalanta,Marco Carnesecchi,11,9,0,0,0.1525,90
14566748,Round 1,club-brugge-kv-as-monaco,Club Brugge KV,Simon Mignolet,30,1,0,0,0.719,19
14566748,Round 1,club-brugge-kv-as-monaco,Club Brugge KV,Nordin Jackers,16,3,0,1,-0.3948,71
14566748,Round 1,club-brugge-kv-as-monaco,AS Monaco,Philipp Köhn,16,6,0,0,0.2409,90
14566972,Round 1,bayer-04-leverkusen-fc-kobenhavn,FC København,Dominik Kotarski,7,3,0,0,-0.73,90
14566972,Round 1,bayer-04-leverkusen-fc-kobenhavn,Bayer 04 Leverkusen,Mark Flekken,40,5,1,0,0.6761,90
14566757,Round 1,galatasaray-eintracht-frankfurt,Eintracht Frankfurt,Michael Zetterer,29,4,0,1,0.4517,90
14566757,Round 1,galatasaray-eintracht-frankfurt,Galatasaray,Uğurcan Çakır,9,3,1,2,-3.4522,90
14566664,Round 1,napoli-manchester-city,Manchester City,Gianluigi Donnarumma,35,1,1,0,0.7295,90
14566664,Round 1,napoli-manchester-city,Napoli,Vanja Milinković-Savić,36,6,2,0,1.1185,90
14566955,Round 1,barcelona-newcastle-united,Newcastle United,Nick Pope,11,3,0,0,-0.6527,90
14566955,Round 1,barcelona-newcastle-united,Barcelona,Joan García,44,5,2,0,0.979,90
14566857,Round 1,kairat-almaty-sporting,Sporting CP,João Virgínia,34,3,1,1,-0.4531,90
14566857,Round 1,kairat-almaty-sporting,Kairat Almaty,Sherkhan Kalmurza,33,4,0,1,0.7619,90
14566727,Round 2,club-brugge-kv-atalanta,Atalanta,Marco Carnesecchi,35,1,0,2,-0.2578,90
14566727,Round 2,club-brugge-kv-atalanta,Club Brugge KV,Nordin Jackers,23,1,0,0,-0.668,90
14566983,Round 2,kairat-almaty-real-madrid,Kairat Almaty,Sherkhan Kalmurza,22,7,1,1,-1.5089,90
14566983,Round 2,kairat-almaty-real-madrid,Real Madrid,Thibaut Courtois,33,4,0,2,0.3087,90
14566775,Round 2,atletico-madrid-eintracht-frankfurt,Atlético Madrid,Jan Oblak,27,1,0,0,0.1114,90
14566775,Round 2,atletico-madrid-eintracht-frankfurt,Eintracht Frankfurt,Kauã Santos,29,7,0,0,1.0796,90
14566843,Round 2,bodoglimt-tottenham-hotspur,Bodø/Glimt,Nikita Haikin,13,2,0,0,-0.8307,90
14566843,Round 2,bodoglimt-tottenham-hotspur,Tottenham Hotspur,Guglielmo Vicario,25,2,0,0,-0.7908,90
14566581,Round 2,benfica-chelsea,Chelsea,Robert Sánchez,26,3,0,0,0.5627,90
14566581,Round 2,benfica-chelsea,Benfica,Anatoliy Trubin,25,3,0,0,0.1736,90
14566934,Round 2,galatasaray-liverpool,Galatasaray,Uğurcan Çakır,23,4,0,0,0.7854,90
14566934,Round 2,galatasaray-liverpool,Liverpool,Alisson,36,3,1,0,0.0085,56
14566934,Round 2,galatasaray-liverpool,Liverpool,Giorgi Mamardashvili,30,0,0,1,0.0,34
14566613,Round 2,inter-sk-slavia-praha,Inter,Yann Sommer,35,1,1,0,0.0546,90
14566613,Round 2,inter-sk-slavia-praha,SK Slavia Praha,Jindřich Staněk,29,2,0,1,0.0981,90
14566823,Round 2,afc-ajax-olympique-de-marseille,Olympique de Marseille,Gerónimo Rulli,46,2,1,1,0.9096,90
14566823,Round 2,afc-ajax-olympique-de-marseille,AFC Ajax,Vítězslav Jaroš,6,2,0,0,-1.8108,90
14566965,Round 2,pafos-fc-fc-bayern-munchen,Pafos FC,Neofytos Michael,10,10,0,0,-0.0113,90
14566965,Round 2,pafos-fc-fc-bayern-munchen,FC Bayern München,Manuel Neuer,41,1,0,3,-0.2114,90
14566922,Round 2,qarabag-fc-kobenhavn,Qarabağ FK,Mateusz Kochalski,31,4,0,1,0.1401,90
14566922,Round 2,qarabag-fc-kobenhavn,FC København,Dominik Kotarski,33,4,0,1,0.5853,90
14566952,Round 2,royale-union-saint-gilloise-newcastle-united,Royale Union Saint-Gilloise,Kjell Scherpen,17,2,1,0,-0.805,90
14566952,Round 2,royale-union-saint-gilloise-newcastle-united,Newcastle United,Nick Pope,31,6,0,0,0.7225,90
14566719,Round 2,olympiacos-fc-arsenal,Arsenal,David Raya,39,3,1,1,0.6127,90
14566719,Round 2,olympiacos-fc-arsenal,Olympiacos FC,Konstantinos Tzolakis,28,2,2,0,-0.1133,90
14566925,Round 2,as-monaco-manchester-city,AS Monaco,Philipp Köhn,21,5,0,0,-0.4079,90
14566925,Round 2,as-monaco-manchester-city,Manchester City,Gianluigi Donnarumma,26,1,1,1,-0.7731,90
14566650,Round 2,barcelona-paris-saint-germain,Barcelona,Wojciech Szczęsny,24,5,0,1,-0.5094,90
14566650,Round 2,barcelona-paris-saint-germain,Paris Saint-Germain,Lucas Chevalier,34,0,1,2,-0.3925,90
